,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
196,ljjrc06i0xno0ljj7b6qdxiqhn5jcy2i,Kenya,Male,30,1,2,7.0,5,5,70,100.0,3.0,0.362679718805626,-1.06262301050694
197,u0pea57e8p2y0emy8gwlu0pejcvpnaex,Kenya,Male,26,2,2,2.0,3,5,80,100.0,4.0,1.80990711941604,-0.967988706759433
198,bhpza8xikl927ibi2mbhpza8x3zdst90,Kenya,Male,25,1,2,-1.0,5,5,75,90.35,1.5,-0.035203743560702,-0.580773963954616
199,l3i49y7ntegnrm3l3i49bmy8dt2irvz8,Kenya,Female,30,5,2,0.0,5,3,54,95.38,1.5,-0.553343219080853,-1.81258060434626
200,wao51ny8ynt8dngfbekwxwao51nmtfmy,Kenya,Male,21,1,1,-2.0,3,3,31,89.87,1.5,-0.544432579721988,0.974330632783029
201,zrrbfnmp6pz68ebzrrbs2n4g8043amm8,Kenya,Male,28,2,3,0.0,5,4,56,75.935,1.5,0.260622280796269,-1.6270551746835
202,rj5bf930x54o0qzetdf4g6rj5bf93vl3,Kenya,Female,25,1,2,4.0,5,5,49,100.0,2.5,-1.32706295618447,0.350624655805483
203,dn2ahep8trip4dnfago37faydv8sbnfa,Kenya,Female,30,5,2,7.0,5,2,17,100.0,1.0,0.0643393692343255,0.503715967969843
204,o26aevhb4bma59rfp3o26aevh4agjr00,Kenya,Male,24,2,2,1.0,5,5,61,99.56,1.0,0.0921101618515704,0.372091671776752
205,5u7z49u291vw6b5u7zat0kyaxks978vl,Kenya,Female,25,2,2,2.0,5,5,100,94.905,1.5,0.768248286989027,0.850210143443471
206,kx08b3g88v1nle12skk2kx08b3ggcz5f,Nigeria,Female,29,1,2,7.0,5,5,28,98.835,1.0,-1.67677006533492,0.184744226797899
207,ux15emb2osq619gozyux15wlma5xqmh9,Kenya,Female,27,1,2,2.0,4,5,85,99.575,2.0,0.51028700696948,1.42238869687529
